countryname,state_emp_now,occupation,public_educators,public_health_professionals,state_career,DemocracySupport,InstitutionSupport,Democracy,Education,Occupation,MiddleClass,Age,age2,Gender,Expenditures,IncDist,FreeMarket_Support,stateemployment,state_assistance,state_emp_middleclass
albania,0,,,,,0.0,0,0,0.0,,0.0,69.0,4761.0,0,23.94737,1.0,0.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,26.0,676.0,1,35.0,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,32.0,1024.0,1,12.91667,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,36.0,1296.0,1,35.0,1.0,0.0,,1.0,0.0
albania,0,hotels and restaurants,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42.0,1764.0,1,35.0,2.0,0.0,0.0,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,57.0,3249.0,0,35.0,2.0,0.0,,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,35.0,1225.0,0,19.52381,1.0,0.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37.0,1369.0,0,23.33333,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,65.0,4225.0,1,84.0,2.0,0.0,,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,37.0,1369.0,0,38.75,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,26.0,676.0,1,46.66667,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,53.0,2809.0,1,35.65218,1.0,1.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,34.0,1156.0,0,28.18182,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,38.0,1444.0,0,45.65218,1.0,0.0,,1.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,56.0,3136.0,1,111.3333,2.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,29.0,841.0,1,27.36842,1.0,0.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,56.0,3136.0,0,105.0,2.0,0.0,,1.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,21.0,441.0,1,28.88889,2.0,0.0,,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,27.0,729.0,1,74.76191,3.0,0.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,55.0,3025.0,0,30.0,1.0,0.0,,1.0,0.0
albania,1,"transport, communications",0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,43.0,1849.0,1,67.85715,6.0,1.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,86.0,7396.0,1,100.0,4.0,0.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,46.0,2116.0,0,460.8,9.0,1.0,0.0,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,47.0,2209.0,1,209.4286,5.0,1.0,,0.0,0.0
albania,1,hotels and restaurants,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,42.0,1764.0,1,382.3077,7.0,1.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,40.0,1600.0,1,167.2,4.0,1.0,,0.0,0.0
albania,1,mining and quarrying,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,57.0,3249.0,0,104.6667,5.0,0.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,51.0,2601.0,1,349.1667,5.0,0.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,66.0,4356.0,0,322.3077,5.0,1.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,55.0,3025.0,1,139.6667,7.0,1.0,,1.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,51.0,2601.0,1,73.33334,4.0,1.0,,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,68.0,4624.0,1,167.5,9.0,0.0,,0.0,0.0
albania,0,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,39.0,1521.0,1,58.33334,2.0,1.0,0.0,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,42.0,1764.0,1,165.0,7.0,0.0,,0.0,0.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,39.0,1521.0,1,182.1739,1.0,0.0,0.0,0.0,0.0
albania,0,,,,,0.0,1,0,0.0,,0.0,48.0,2304.0,0,134.0,3.0,0.0,,1.0,0.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,30.0,900.0,0,403.0769,4.0,0.0,1.0,0.0,0.0
albania,0,,,,,0.0,1,0,1.0,,,65.0,4225.0,1,335.2,6.0,1.0,,0.0,
